CONTROL,RMOV,XCOND,XCOOP,XCOST,XHEAD,XINUS,XPER,XREL,XTEN,XUNIT,MOVGRP,JOVGRP,JXTEN,JXUNIT,JXPER,JXHEAD
'100006370140',-9,'-9','-6','-9','-9','-9',-7,'-6','2','-9','1','1','1','-9','1','-9'
'100006520140',1,'3','-6','3','2','-9',2,'1','1','1','1','-9','-9','-9','-9','-9'
'100008700141',1,'3','-6','3','2','-9',2,'2','2','2','1','-9','-9','-9','-9','-9'
'100008960141',1,'3','-6','1','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'100009170148',1,'3','-6','3','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'100013500140',-9,'-9','-6','-9','-9','-9',-7,'-6','2','-9','1','1','1','-9','1','-9'
'100014110140',1,'3','-6','1','2','-9',4,'1','1','1','1','-9','-9','-9','-9','-9'
'100014370140',1,'3','-6','3','1','-9',4,'-6','1','1','1','-9','-9','-9','-9','-9'
'100021780144',1,'2','-6','2','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'100029750147',1,'3','-6','1','1','-9',1,'-6','1','1','1','-9','-9','-9','-9','1'
'100059730141',1,'3','-6','1','1','-9',7,'-6','3','1','1','-9','-9','-9','-9','-9'
'100069100140',1,'3','-6','1','1','-9',6,'-6','2','2','1','-9','-9','-9','-9','-9'
'100069100249',1,'3','-6','2','1','-9',2,'-6','2','3','1','-9','-9','-9','-9','-9'
'100074570143',1,'3','-6','1','1','-9',1,'-6','1','1','1','-9','-9','-9','-9','1'
'100074570143',2,'3','-6','3','2','-9',4,'1','1','1','2','-9','-9','-9','-9','-9'
'100094500143',1,'3','-6','1','2','-9',6,'1','1','1','1','-9','-9','-9','-9','-9'
'100094500143',2,'3','-6','1','2','-9',4,'1','1','2','2','-9','-9','-9','-9','-9'
'100102770145',1,'3','-6','1','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'100118120146',-9,'-9','-6','-9','-9','-9',-7,'-6','3','-9','1','1','1','-9','1','-9'
'100144510149',1,'3','-6','3','2','-9',5,'2','1','1','1','-9','-9','-9','-9','-9'
'100152540147',1,'3','-6','3','1','-9',4,'-6','2','2','1','-9','-9','-9','-9','-9'
'100168130147',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'100169900143',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'100181100149',1,'3','-6','2','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'100196960144',1,'4','-6','3','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'100202570147',1,'3','-6','1','1','-9',4,'-6','3','1','1','-9','-9','-9','-9','-9'
'100207110146',1,'3','-6','1','1','-9',4,'-6','2','3','1','-9','-9','-9','-9','-9'
'100223120147',1,'3','-6','2','1','-9',-8,'-6','1','1','1','-9','-9','-9','-9','-9'
'100223120147',2,'3','-6','3','2','-9',-8,'1','1','1','2','-9','-9','-9','-9','-9'
'100223120444',1,'3','-6','1','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'100226720141',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'100229150145',1,'3','-6','2','1','-9',5,'-6','1','1','1','-9','-9','-9','-9','-9'
'100229560145',1,'3','-6','1','1','-9',2,'-6','2','1','1','-9','-9','-9','-9','-9'
'100231700142',1,'-6','-6','-6','-6','-9',-6,'-6','-6','4','1','-9','-9','-9','1','-9'
'100236130148',1,'3','-6','2','2','-9',3,'2','1','1','1','-9','-9','-9','-9','-9'
'100239760149',1,'2','-6','3','1','-9',4,'-6','1','3','1','-9','-9','-9','-9','-9'
'100239920149',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'100247590149',1,'3','-6','1','2','-9',4,'1','1','1','1','-9','-9','-9','-9','-9'
'100247900140',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'100247900140',2,'3','-6','3','1','-9',1,'-6','2','2','2','-9','-9','-9','-9','1'
'100250710147',1,'3','-6','1','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'100250970147',1,'3','-6','3','2','-9',4,'1','1','1','1','-9','-9','-9','-9','-9'
'100258483051',1,'3','-6','2','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'100261960149',1,'3','-6','1','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'100261960149',2,'3','-6','2','1','-9',2,'-6','2','2','2','-9','-9','-9','-9','-9'
'100267950144',1,'4','-6','-7','2','-9',2,'2','2','2','1','-9','-9','-9','-9','-9'
'100269130143',1,'3','-6','2','1','-9',1,'-6','1','1','1','-9','-9','-9','-9','1'
'100269540143',1,'3','-6','1','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'100269540143',2,'3','-6','-7','1','-9',1,'-6','2','2','2','-9','-9','-9','-9','1'
'100273140140',1,'3','-6','3','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'100276980148',1,'3','-6','1','1','-9',4,'-6','2','2','1','-9','-9','-9','-9','-9'
'100277380142',1,'4','-6','3','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'100284320141',1,'3','-6','-7','-8','-9',-8,'-6','2','-8','1','-9','-9','-9','-9','-9'
'100284370140',1,'3','-6','3','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'100286110149',1,'3','-6','2','1','-9',4,'-6','1','1','1','-9','-9','-9','-9','-9'
'100295990140',1,'3','-6','3','2','-9',3,'2','2','2','1','-9','-9','-9','-9','-9'
'100298120246',1,'3','-6','-7','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'100298120543',-9,'-9','-6','-9','-9','-9',-7,'-6','2','-9','1','1','1','-9','1','-9'
'100303520149',1,'3','-6','2','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'100306190149',1,'3','-6','2','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'100319500149',1,'3','-6','1','2','-9',3,'1','1','1','1','-9','-9','-9','-9','-9'
'100344510146',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'100351180149',1,'3','-6','2','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'100355560147',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'100356320140',1,'4','-6','3','1','-9',3,'-6','1','1','1','-9','-9','-9','-9','-9'
'100356320148',1,'3','-6','3','1','-9',5,'-6','2','1','1','-9','-9','-9','-9','-9'
'100356570148',1,'3','-6','1','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'100358930144',1,'3','-6','1','1','-9',7,'-6','2','2','1','-9','-9','-9','-9','-9'
'100363700340',1,'3','-6','2','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'100365120140',-9,'-9','-6','-9','-9','-9',-7,'-6','2','-9','1','1','1','-9','1','-9'
'100365530140',1,'3','-6','3','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'100375950147',1,'3','-6','3','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'100380780140',1,'3','-6','2','1','-9',3,'-6','2','1','1','-9','-9','-9','-9','-9'
'100380780249',1,'3','-6','2','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'100382100142',1,'3','-6','2','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'100391203058',1,'3','-6','1','1','-9',3,'-6','1','1','1','-9','-9','-9','-9','-9'
'100411320147',1,'3','-6','2','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'100411570147',1,'3','-6','3','1','-9',3,'-6','2','1','1','-9','-9','-9','-9','-9'
'100423180145',1,'3','-6','1','2','-9',3,'1','1','1','1','-9','-9','-9','-9','-9'
'100423590145',1,'3','-6','2','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'100434120148',1,'-8','-6','-7','-8','-9',-8,'-6','1','1','1','-9','1','1','-9','-9'
'100434380148',1,'-6','-6','-6','-6','-9',-6,'-6','-6','4','1','-9','-9','-9','1','-9'
'100440180149',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'100451120141',1,'3','-6','1','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'100468510143',1,'3','-6','1','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'100479140140',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'100479140249',1,'3','-6','3','1','-9',5,'-6','1','1','1','-9','-9','-9','-9','-9'
'100485140147',1,'3','-6','1','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'100485300147',1,'3','-6','2','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'100492150148',-9,'-9','-6','-9','-9','-9',-7,'-6','1','1','1','1','1','1','1','-9'
'100492310148',1,'3','-6','3','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'100493950141',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'100497940144',1,'3','-6','1','2','-9',5,'1','2','1','1','-9','-9','-9','-9','-9'
'100506120345',-9,'-9','-6','-9','-9','-9',-7,'-6','1','1','1','1','1','1','1','-9'
'100527910141',1,'3','-6','1','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'100527910141',2,'3','-6','2','1','-9',2,'-6','2','2','2','-9','-9','-9','-9','-9'
'100536710147',1,'3','-6','1','2','-9',6,'1','3','1','1','-9','-9','-9','-9','-9'
'100542380145',1,'3','-6','3','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'100546350149',-9,'-9','-6','-9','-9','-9',-7,'-6','2','-9','1','1','1','-9','1','-9'
'100546780147',-9,'-9','-6','-9','-9','-9',-7,'-6','2','-9','1','1','1','-9','1','-9'
'100548140148',1,'3','-6','2','1','-9',3,'-6','1','1','1','-9','-9','-9','-9','-9'
'100558540148',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'100590120140',1,'3','-6','1','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'100602350144',1,'3','-6','2','-9','-9',-7,'-6','2','2','1','-9','-9','-9','1','-9'
'100602500144',1,'2','-6','2','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'100604140140',1,'2','-6','2','1','-9',1,'-6','1','1','1','-9','-9','-9','-9','1'
'100611970144',1,'4','-6','-7','2','-9',-7,'2','2','2','1','-9','-9','-9','-9','-9'
'100611970144',2,'4','-6','-7','-7','-9',-7,'-6','3','-7','2','-9','1','-9','-9','-9'
'100618140145',1,'4','-6','-7','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'100618140145',2,'4','-6','-7','1','-9',1,'-6','2','2','2','-9','-9','-9','-9','1'
'100619770144',1,'3','-6','1','1','-9',3,'-6','3','1','1','-9','-9','-9','-9','-9'
'100631370145',-9,'-9','-6','-9','-9','-9',-7,'-6','1','1','1','1','1','1','1','-9'
'100635300140',1,'-6','-6','-6','-6','1',-6,'-6','-6','-6','1','-9','-9','-9','1','-9'
'100635550140',-9,'-9','-6','-9','-9','-9',-7,'-6','2','-9','1','1','1','-9','1','-9'
'100638570145',-9,'-9','-6','-9','-9','-9',-7,'-6','1','1','1','1','1','1','1','-9'
'100650140147',1,'3','-6','3','2','-9',4,'1','2','2','1','-9','-9','-9','-9','-9'
'100650580145',1,'3','-6','3','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'100652390147',1,'3','-6','1','1','-9',4,'-6','1','1','1','-9','-9','-9','-9','-9'
'100664730146',1,'3','-6','2','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'100664730146',2,'3','-6','2','1','-9',2,'-6','2','2','2','-9','-9','-9','-9','-9'
'100664990146',1,'3','-6','3','2','-9',3,'1','2','2','1','-9','-9','-9','-9','-9'
'100683140147',1,'3','-6','1','2','-9',4,'1','1','1','1','-9','-9','-9','-9','-9'
'100685170141',1,'4','-6','-7','1','-9',-7,'-6','2','1','1','-9','-9','-9','-9','-9'
'100686160147',1,'3','-6','1','1','-9',3,'-6','2','1','1','-9','-9','-9','-9','-9'
'100693510148',-9,'-9','-6','-9','-9','-9',-7,'-6','2','-9','1','1','1','-9','1','-9'
'100716150147',1,'3','-6','2','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'100716560147',1,'3','-6','3','1','-9',5,'-6','1','1','1','-9','-9','-9','-9','-9'
'100717920148',1,'3','-6','2','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'100743940144',1,'3','-6','2','1','-9',-7,'-6','2','2','1','-9','-9','-9','1','-9'
'100750300144',1,'3','-6','2','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'100763320143',-9,'-9','-6','-9','-9','-9',-7,'-6','1','1','1','1','1','1','1','-9'
'100772900142',1,'3','-6','2','1','-9',3,'-6','2','1','1','-9','-9','-9','-9','-9'
'100776790141',1,'3','-6','2','1','-9',5,'-6','1','1','1','-9','-9','-9','-9','-9'
'100776790141',2,'3','-6','2','1','-9',2,'-6','2','2','2','-9','-9','-9','-9','-9'
'100782190143',1,'3','-6','1','2','-9',5,'1','1','1','1','-9','-9','-9','-9','-9'
'100783510146',1,'3','-6','1','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'100790790147',1,'3','-6','2','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'100791120146',-9,'-9','-6','-9','-9','-9',-7,'-6','2','-9','1','1','1','-9','1','-9'
'100792930147',1,'3','-6','1','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'100792930147',2,'3','-6','-7','1','-9',-7,'-6','2','2','2','-9','-9','-9','-9','-9'
'100793330149',-9,'-9','-6','-9','-9','-9',-7,'-6','1','1','1','1','1','1','1','-9'
'100799150149',1,'3','-6','1','1','-9',3,'-6','2','1','1','-9','-9','-9','-9','-9'
'100805530146',1,'3','-6','1','2','-9',5,'1','1','1','1','-9','-9','-9','-9','-9'
'100809190142',1,'3','-6','2','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'100809730146',1,'3','-6','2','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'100838380148',-9,'-9','-6','-9','-9','-9',-7,'-6','1','1','1','1','1','1','1','-9'
'100845140147',1,'3','-6','3','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'100849380143',1,'3','-6','1','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'100853930140',1,'3','-6','1','1','-9',-8,'-6','1','1','1','-9','-9','-9','-9','-9'
'100854320145',1,'3','-6','2','1','-9',4,'-6','1','1','1','-9','-9','-9','-9','-9'
'100883140141',-9,'-9','-6','-9','-9','-9',-7,'-6','1','1','1','1','1','1','1','-9'
'100883700241',1,'3','-6','2','1','-9',3,'-6','2','1','1','-9','-9','-9','-9','-9'
'100883700241',2,'3','-6','1','2','-9',3,'1','1','1','2','-9','-9','-9','-9','-9'
'100894770141',1,'3','-6','3','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'100895340144',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'100903570142',1,'3','-6','1','2','-9',4,'1','1','1','1','-9','-9','-9','-9','-9'
'100903570142',2,'3','-6','1','2','-9',4,'1','1','1','2','-9','-9','-9','-9','-9'
'100909360146',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'100909780147',1,'3','-6','3','1','-9',1,'-6','1','1','1','-9','-9','-9','-9','1'
'100914500142',1,'3','-6','2','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'100926253058',1,'3','-6','3','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'100932920142',1,'3','-6','1','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'100941520143',1,'3','-6','3','2','-9',3,'1','2','2','1','-9','-9','-9','-9','-9'
'100951510147',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'100963130140',-9,'-9','-6','-9','-9','-9',-7,'-6','3','-9','1','1','1','-9','1','-9'
'100970540140',1,'3','-6','2','1','-9',1,'-6','3','3','1','-9','-9','-9','-9','1'
'100992580144',-9,'-9','-6','-9','-9','-9',-7,'-6','2','-9','1','1','1','-9','1','-9'
'101008160147',-9,'-9','-6','-9','-9','-9',-7,'-6','2','-9','1','1','1','-9','1','-9'
'101045140148',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'101045550148',1,'3','-6','-7','1','-9',-7,'-6','1','1','1','-9','-9','-9','1','-9'
'101067940141',1,'3','-6','-7','2','-9',2,'1','1','1','1','-9','-9','-9','-9','-9'
'101102330141',1,'3','-6','3','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'101103510149',1,'3','-6','3','1','-9',1,'-6','1','1','1','-9','-9','-9','-9','1'
'101107330143',1,'-6','-6','-6','-6','1',-6,'-6','-6','-6','1','-9','-9','-9','1','-9'
'101129990140',1,'3','-6','1','2','-9',3,'1','1','1','1','-9','-9','-9','-9','-9'
'101129990140',2,'3','-6','1','2','-9',4,'1','1','1','2','-9','-9','-9','-9','-9'
'101135100147',-9,'-9','-6','-9','-9','-9',-7,'-6','1','1','1','1','1','1','1','-9'
'101150100145',1,'3','-6','3','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'101150843058',1,'3','-6','2','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'101173170140',1,'4','-6','1','1','-9',4,'-6','2','1','1','-9','-9','-9','-9','-9'
'101216140140',1,'2','-6','3','1','-9',5,'-6','2','2','1','-9','-9','-9','-9','-9'
'101226180147',1,'3','-6','1','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'101226180147',2,'3','-6','3','2','-9',3,'1','3','1','2','-9','-9','-9','-9','-9'
'101226590147',1,'-6','-6','-6','-6','-9',-6,'-6','-6','4','1','-9','-9','-9','1','-9'
'101226590147',2,'3','-6','3','2','-9',2,'2','1','3','2','-9','-9','-9','-9','-9'
'101234760145',-9,'-9','-6','-9','-9','-9',-7,'-6','2','-9','1','1','1','-9','1','-9'
'101250990144',1,'-6','-6','-6','-6','-9',-6,'-6','-6','4','1','-9','-9','-9','1','-9'
'101260990147',1,'-6','-6','-6','-6','1',-6,'-6','-6','-6','1','-9','-9','-9','1','-9'
'101281160147',1,'3','-6','-7','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'101283120141',1,'3','-6','2','1','-9',5,'-6','2','1','1','-9','-9','-9','-9','-9'
'101294560143',1,'2','-6','1','1','-9',3,'-6','1','2','1','-9','-9','-9','-9','-9'
'101295190146',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'101295500146',1,'3','-6','1','1','-9',3,'-6','1','1','1','-9','-9','-9','-9','-9'
'101302520146',1,'3','-6','1','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'101303190142',1,'3','-6','1','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'101303190142',2,'3','-6','2','1','-9',1,'-6','2','2','2','-9','-9','-9','-9','1'
'101306110146',1,'3','-6','2','1','-9',3,'-6','2','1','1','-9','-9','-9','-9','-9'
'101306370146',1,'2','-6','1','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'101306370146',2,'3','-6','-7','2','-9',4,'2','3','1','2','-9','-9','-9','-9','-9'
'101336033056',1,'1','1','1','1','-9',1,'-6','1','2','1','-9','-9','-9','-9','1'
'101354720148',1,'3','-6','2','2','-9',2,'2','1','1','1','-9','-9','-9','-9','-9'
'101375710144',1,'3','-6','1','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'101375710144',2,'3','-6','3','1','-9',2,'-6','2','1','2','-9','-9','-9','-9','-9'
'101375970144',-9,'-9','-6','-9','-9','-9',-7,'-6','2','-9','1','1','1','-9','1','-9'
'101380140146',1,'3','-6','2','2','-9',3,'1','3','1','1','-9','-9','-9','-9','-9'
'101380550146',1,'-8','-6','-7','-8','-9',-8,'-6','2','-8','1','-9','1','-9','-9','-9'
'101387700144',1,'3','-6','1','1','-9',2,'-6','2','1','1','-9','-9','-9','-9','-9'
'101410140140',1,'3','-6','2','2','-9',4,'1','1','1','1','-9','-9','-9','-9','-9'
'101423360142',1,'3','-6','2','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'101434550145',-9,'-9','-6','-9','-9','-9',-7,'-6','2','-9','1','1','1','-9','1','-9'
'101438540140',-9,'-9','-6','-9','-9','-9',-7,'-6','2','-9','1','1','1','-9','1','-9'
'101482140240',1,'2','-6','2','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'101504140140',1,'3','-6','1','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'101512180149',1,'3','-6','2','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'101512180149',2,'3','-6','2','1','-9',2,'-6','2','2','2','-9','-9','-9','-9','-9'
'101512590149',1,'4','-6','3','2','-9',3,'1','1','3','1','-9','-9','-9','-9','-9'
'101530510145',1,'3','-6','1','2','-9',2,'1','2','2','1','-9','-9','-9','-9','-9'
'101536730144',1,'3','-6','1','2','-9',4,'2','3','3','1','-9','-9','-9','-9','-9'
'101536730144',2,'3','-6','3','1','-9',4,'-6','2','3','2','-9','-9','-9','-9','-9'
'101548320145',1,'3','-6','1','2','-9',5,'1','1','1','1','-9','-9','-9','-9','-9'
'101553310146',1,'3','-6','-7','1','-9',-8,'-6','2','2','1','-9','-9','-9','-9','-9'
'101553310146',2,'3','-6','-7','-7','-9',-7,'-6','2','2','2','-9','-9','-9','-9','-9'
'101618910147',1,'3','-6','3','1','-9',4,'-6','2','1','1','-9','-9','-9','-9','-9'
'101650500142',1,'3','-6','3','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'101650500142',2,'3','-6','3','1','-9',1,'-6','2','2','2','-9','-9','-9','-9','1'
'101653180141',1,'3','-6','2','1','-9',1,'-6','2','1','1','-9','-9','-9','-9','1'
'101664910143',1,'3','-6','1','2','-9',2,'2','1','2','1','-9','-9','-9','-9','-9'
'101700140140',1,'3','-6','1','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'101714960141',1,'3','-6','2','1','-9',6,'-6','1','1','1','-9','-9','-9','-9','-9'
'101790970144',1,'-6','-6','-6','-6','-9',-6,'-6','-6','4','1','-9','-9','-9','1','-9'
'101792790144',-9,'-9','-6','-9','-9','-9',-7,'-6','1','1','1','1','1','1','1','-9'
'101799170146',1,'3','-6','1','1','-9',2,'-6','2','1','1','-9','-9','-9','-9','-9'
'101828930147',1,'3','-6','2','2','-9',5,'1','2','1','1','-9','-9','-9','-9','-9'
'101850170140',1,'-6','-6','-6','-6','1',-6,'-6','-6','-6','1','-9','-9','-9','1','-9'
'101850170140',2,'-6','-6','-6','-6','1',-6,'-6','-6','-6','2','-9','-9','-9','1','-9'
'101850170140',3,'-6','-6','-6','-6','1',-6,'-6','-6','-6','3','-9','-9','-9','1','-9'
'101850330140',1,'3','-6','3','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'101850580140',-9,'-9','-6','-9','-9','-9',-7,'-6','2','-9','1','1','1','-9','1','-9'
'101853833052',1,'3','-6','3','2','-9',8,'1','1','1','1','-9','-9','-9','-9','-9'
'101889170145',1,'3','-6','2','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'101895100141',1,'2','-6','1','1','-9',3,'-6','1','2','1','-9','-9','-9','-9','-9'
'101910520149',1,'3','-6','1','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'101910930140',1,'2','-6','1','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'101926273055',1,'4','-6','-7','-7','-9',-7,'-6','1','1','1','-9','1','1','-9','-9'
'101929750140',-9,'-9','-6','-9','-9','-9',-7,'-6','2','-9','1','1','1','-9','1','-9'
'101944580143',-9,'-9','-6','-9','-9','-9',-7,'-6','2','-9','1','1','1','-9','1','-9'
'101961500146',1,'2','-6','3','1','-9',1,'-6','1','1','1','-9','-9','-9','-9','1'
'102037473050',1,'3','-6','3','1','-9',4,'-6','1','1','1','-9','-9','-9','-9','-9'
'102051580341',1,'-6','-6','-6','-6','-9',-6,'-6','-6','4','1','-9','-9','-9','1','-9'
'102051580341',2,'3','-6','1','2','-9',4,'2','3','1','2','-9','-9','-9','-9','-9'
'102089780147',1,'3','-6','3','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'102150380142',1,'3','-6','-7','2','-9',5,'1','1','1','1','-9','-9','-9','-9','-9'
'102150453055',1,'3','-6','1','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'102150453055',2,'3','-6','1','2','-9',3,'1','1','1','2','-9','-9','-9','-9','-9'
'102194730148',1,'3','-6','1','2','-9',3,'1','1','1','1','-9','-9','-9','-9','-9'
'102194730148',2,'3','-6','1','2','-9',3,'1','1','1','2','-9','-9','-9','-9','-9'
'102196340147',1,'3','-6','1','1','-9',6,'-6','3','1','1','-9','-9','-9','-9','-9'
'102261900143',1,'3','-6','2','1','-9',4,'-6','2','2','1','-9','-9','-9','-9','-9'
'102294580140',1,'3','-6','1','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'102294580140',2,'3','-6','3','1','-9',2,'-6','3','1','2','-9','-9','-9','-9','-9'
'102295370143',-9,'-9','-6','-9','-9','-9',-7,'-6','1','1','1','1','1','1','1','-9'
'102336053053',1,'3','-6','1','1','-9',5,'-6','1','1','1','-9','-9','-9','-9','-9'
'102336780143',1,'3','-6','2','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'102358150147',1,'2','-6','1','1','-9',3,'-6','2','1','1','-9','-9','-9','-9','-9'
'102358150147',2,'3','-6','1','1','-9',2,'-6','2','1','2','-9','-9','-9','-9','-9'
'102379380141',-9,'-9','-6','-9','-9','-9',-7,'-6','1','1','1','1','1','1','1','-9'
'102383750147',1,'3','-6','2','2','-9',5,'2','1','1','1','-9','-9','-9','-9','-9'
'102383750147',2,'3','-6','1','2','-9',5,'2','1','1','2','-9','-9','-9','-9','-9'
'102459790147',1,'3','-6','1','1','-9',3,'-6','1','1','1','-9','-9','-9','-9','-9'
'102494043051',-9,'-9','-6','-9','-9','-9',-7,'-6','1','1','1','1','1','1','1','-9'
'102502043150',1,'3','-6','1','1','-9',3,'-6','3','1','1','-9','-9','-9','-9','-9'
'102502370140',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'102530380142',1,'3','-6','1','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'102548590142',1,'-6','-6','-6','-6','1',-6,'-6','-6','-6','1','-9','-9','-9','1','-9'
'102553170143',1,'-6','-6','-6','-6','-9',-6,'-6','-6','4','1','-9','-9','-9','1','-9'
'102553170143',2,'-6','-6','-6','-6','-9',-6,'-6','-6','4','2','-9','-9','-9','1','-9'
'102579700148',1,'3','-6','2','1','-9',2,'-6','1','3','1','-9','-9','-9','-9','-9'
'102618770144',1,'3','-6','3','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'102618770144',2,'3','-6','3','1','-9',2,'-6','2','2','2','-9','-9','-9','-9','-9'
'102641310345',-9,'-9','-6','-9','-9','-9',-7,'-6','2','-9','1','1','1','-9','1','-9'
'102641710148',1,'-6','-6','-6','-6','1',-6,'-6','-6','-6','1','-9','-9','-9','1','-9'
'102687770143',1,'2','-6','2','1','-9',1,'-6','1','1','1','-9','-9','-9','-9','1'
